movie_title,sadness,joy,love,anger,fear,surprise
200_Meters_reviews,0.142134459,0.37346817,0.017253196,0.381241935,0.078943014,0.006959243
24_Hours_to_Live_reviews,0.144651866,0.704172046,0.140374683,0.007210183,0.00160973,0.001981477
365_Days_reviews,0.110103512,0.450055354,0.050956341,0.240123915,0.124168653,0.024592238
365_Days__This_Day_reviews,0.141251916,0.378854113,0.063681833,0.30513248,0.102433417,0.008646241
7500_reviews,0.066712311,0.749286939,0.007107931,0.100026216,0.062883427,0.013983188
7_Guardians_of_the_Tomb_reviews,0.034511385,0.694439664,0.016589754,0.147174249,0.098468064,0.008816894
About_Dry_Grasses_reviews,0.117862259,0.590583688,0.013675433,0.195688685,0.042334204,0.039855731
About_Elly_reviews,0.090275464,0.720374912,0.013348803,0.121302994,0.050293559,0.004404271
Abraham_s_Valley_reviews,0.259160336,0.565357484,0.008747515,0.08804855,0.071799856,0.006886249
Acts_of_Vengeance_reviews,0.924585223,0.050737981,0.004335604,0.01596578,0.003095298,0.001280189
Adrift_reviews,0.077771281,0.640469532,0.032169133,0.136752797,0.08049989,0.032337354
After_the_Dark_reviews,0.153387082,0.520256933,0.026848726,0.227939845,0.064929924,0.006637479
Against_the_Ice_reviews,0.046248502,0.65554206,0.009283809,0.131843691,0.064097388,0.092984546
Agnee_reviews,0.005280262,0.952796747,0.007544694,0.01938912,0.0088908,0.006098347
Air_Force_The_Movie__Danger_Close_reviews,0.124076668,0.788123265,0.008274468,0.065593468,0.010973217,0.002958918
Alice_reviews,0.220316987,0.488409876,0.009437636,0.20429809,0.073000487,0.0045369
All_Quiet_on_the_Western_Front_reviews,0.111869945,0.63504817,0.035471118,0.152598672,0.059401529,0.005610573
Amaran_reviews,0.238148151,0.627210468,0.081357597,0.03923198,0.007295343,0.006756443
American_Ultra_reviews,0.143899436,0.628604694,0.037403832,0.145033438,0.037940745,0.007117858
Amour_reviews,0.013897441,0.976176947,0.002081535,0.002992795,0.003100872,0.001750362
Anacondas__Trail_of_Blood_reviews,0.496992354,0.498497168,0.001129499,0.001079207,0.001729416,0.000572353
And_Then_We_Danced_reviews,0.080083389,0.707182232,0.063646395,0.113649759,0.029398798,0.006039422
Animal_reviews,0.077390588,0.50219256,0.02547121,0.337921115,0.049531192,0.007493326
Antichrist_reviews,0.028436038,0.453267359,0.021132399,0.289193263,0.200108589,0.007862381
An_American_Haunting_reviews,0.330120628,0.643557354,0.009503303,0.008121866,0.001974371,0.006722539
Apocalypse_Z__The_Beginning_of_the_End_reviews,0.111265122,0.567555558,0.004191372,0.296409227,0.01616211,0.004416596
